country,offsets
AT,1.0
BE,1.0
BG,1.9999306446762453
CZ,1.0
DE,1.0
DK,1.0
EE,2.250190693895081
ES,0.9995165699224445
FI,2.0001263644406846
FR,1.0
GB,0.0
GR,1.9999620744781352
HR,1.0
HU,1.0001021879763776
IE,0.0
IT,1.0
LT,2.225332554891074
LU,1.0
LV,2.250128206756452
NL,1.0
PL,1.0000474444493963
PT,0.10012022965073439
RO,1.9999744739400867
SE,1.0000006130790309
SI,1.0
SK,1.0005430001693167
