Date;SE1 [MWh];SE2 [MWh];SE3 [MWh];SE4 [MWh]
1968-12-12;16568;28185;8591;1259
1968-12-13;20536;28972;8492;1224
1968-12-14;24352;29240;8134;1194
1968-12-15;28119;28809;7996;1166
1968-12-16;24722;27140;7766;1136
1968-12-17;21885;25799;8872;1423
1968-12-18;21908;35736;13539;1746
1968-12-19;21751;33273;8879;1229
1968-12-20;19973;26123;7613;1236
1968-12-21;20474;24204;9320;1625
1968-12-22;19776;21714;7992;1424
1968-12-23;13019;21412;10181;1721
1968-12-24;13564;25024;7714;1620
1968-12-25;10861;19367;10846;1620
1968-12-26;10727;19468;9928;1695
1968-12-27;19468;23782;10363;1513
1968-12-28;13933;37206;9410;1586
1968-12-29;19910;25719;7504;1352
1968-12-30;16699;23594;8138;1691
1968-12-31;12142;19091;6716;1390
1969-01-01;9946;26915;9027;1459
1969-01-02;10389;22056;8200;1366
1969-01-03;10632;20839;6684;1194
1969-01-04;11560;16438;6964;1184
1969-01-05;8278;15990;6352;1150
1969-01-06;8738;15192;6418;1094
1969-01-07;8386;14847;6216;1044
1969-01-08;7413;14811;5978;993
1969-01-09;7712;14242;6080;954
1969-01-10;8278;14666;5841;918
1969-01-11;6850;16735;6935;936
1969-01-12;6422;13489;5673;1139
1969-01-13;6838;19294;13627;1849
1969-01-14;18528;25457;11000;1415
1969-01-15;9537;17954;8322;1052
1969-01-16;14054;18997;12022;1817
1969-01-17;9078;16325;8779;1585
1969-01-18;7243;15202;11384;2337
1969-01-19;7216;14627;11672;2068
1969-01-20;5898;12948;8832;1823
1969-01-21;6206;12364;10695;2065
1969-01-22;6057;13619;13798;2415
1969-01-23;6062;13114;8435;1890
1969-01-24;5436;11641;6722;1755
1969-01-25;6041;14560;6853;1550
1969-01-26;11963;18585;6715;1451
1969-01-27;13255;21443;6735;1455
1969-01-28;13437;18586;9947;1770
1969-01-29;10606;18156;10576;1735
1969-01-30;12767;20658;10315;2314
1969-01-31;24668;27482;9410;2379
1969-02-01;11311;16634;9919;2214
1969-02-02;7440;13248;12236;3150
1969-02-03;6422;13825;8079;2573
1969-02-04;11315;23814;7580;2301
1969-02-05;8324;15936;7182;2288
1969-02-06;6982;11799;6975;2128
1969-02-07;13467;15205;9351;2286
1969-02-08;11637;19146;8880;1965
1969-02-09;10696;16063;9016;1798
1969-02-10;6974;12240;7564;1743
1969-02-11;6069;11438;7765;1880
1969-02-12;8189;13939;7435;1554
1969-02-13;7742;11423;5999;1410
1969-02-14;7747;12531;5934;1363
1969-02-15;5333;11408;6301;1334
1969-02-16;5044;9913;7582;1492
1969-02-17;4883;10439;6621;1345
1969-02-18;4615;10848;6272;1291
1969-02-19;4814;9944;5957;1295
1969-02-20;4798;9303;5432;1329
1969-02-21;4899;9981;7572;1210
1969-02-22;5780;8888;8806;1087
1969-02-23;4387;8610;5105;1043
1969-02-24;4979;8744;4991;1005
1969-02-25;4469;8427;4846;997
1969-02-26;3920;8157;5338;1019
1969-02-27;4825;8374;4721;903
1969-02-28;5328;8591;4529;861
1969-03-01;3976;7660;4170;829
1969-03-02;3725;7567;4105;797
1969-03-03;4224;9574;4005;767
1969-03-04;4891;15354;4001;736
1969-03-05;9039;17824;3919;709
1969-03-06;12435;27697;4545;691
1969-03-07;6041;15838;4226;703
1969-03-08;3815;9112;10478;1640
1969-03-09;3855;10027;4038;672
1969-03-10;3312;8405;3852;666
1969-03-11;5318;8449;3758;630
1969-03-12;4191;7816;3657;598
1969-03-13;7326;8214;3567;575
1969-03-14;3466;7251;3486;553
1969-03-15;3053;7103;3421;532
1969-03-16;2981;6967;3386;512
1969-03-17;2917;6848;3333;492
1969-03-18;2851;6713;3265;474
1969-03-19;2792;6608;3200;456
1969-03-20;3339;6440;3140;439
1969-03-21;3313;6335;3077;423
1969-03-22;3868;6237;3012;409
1969-03-23;4565;6611;2969;393
1969-03-24;4539;6463;2925;378
1969-03-25;3728;6144;2870;364
1969-03-26;4078;6574;2798;350
1969-03-27;8310;6290;2766;337
1969-03-28;10434;8472;2735;325
1969-03-29;8502;10441;3205;342
1969-03-30;5804;13071;6303;1117
1969-03-31;4110;15495;5518;757
1969-04-01;3901;7894;4328;772
1969-04-02;9667;17457;4028;786
1969-04-03;4298;14867;4045;782
1969-04-04;15387;21521;4959;858
1969-04-05;11922;43451;6443;1091
1969-04-06;5360;36779;9883;1399
1969-04-07;3837;40453;13727;1909
1969-04-08;5114;45036;17848;2565
1969-04-09;5275;63019;22575;3265
1969-04-10;3947;92947;31789;4476
1969-04-11;3810;97753;33780;5002
1969-04-12;4138;91245;40078;6640
1969-04-13;4052;80142;35640;7156
1969-04-14;4093;66139;33443;7187
1969-04-15;6237;60031;33496;6989
1969-04-16;16308;55468;29797;6430
1969-04-17;6680;54353;27549;5694
1969-04-18;3960;49472;31659;5026
1969-04-19;3769;42187;25811;4523
1969-04-20;3445;39330;31283;4025
1969-04-21;3334;38039;28413;3531
1969-04-22;5843;38112;26877;3255
1969-04-23;3187;40162;28157;3054
1969-04-24;3105;46639;30717;2869
1969-04-25;3091;56220;37082;2952
1969-04-26;3476;72420;38767;3144
1969-04-27;23045;124591;44537;2734
1969-04-28;24844;144327;51449;2683
1969-04-29;13724;161332;65243;2899
1969-04-30;10959;146762;61918;2534
1969-05-01;9255;121236;56975;2441
1969-05-02;8240;104228;52551;3708
1969-05-03;7444;91932;47483;2860
1969-05-04;6816;84589;44045;3774
1969-05-05;6440;86576;48597;3736
1969-05-06;6731;108156;48075;3451
1969-05-07;8687;152144;57101;3685
1969-05-08;16729;255633;78917;3496
1969-05-09;51202;311362;84753;3069
1969-05-10;45850;329910;93710;3144
1969-05-11;33869;338399;99537;3139
1969-05-12;37312;338641;98222;2981
1969-05-13;38238;325962;106485;3074
1969-05-14;41395;315417;98990;3704
1969-05-15;68671;328368;101120;3224
1969-05-16;78027;315459;114186;4365
1969-05-17;64257;299379;99798;3919
1969-05-18;61408;279111;93500;4485
1969-05-19;63253;272070;90158;5012
1969-05-20;63799;270700;79012;4542
1969-05-21;60162;261816;73998;4201
1969-05-22;58804;251585;69055;3971
1969-05-23;63401;256278;65964;3581
1969-05-24;71664;275161;64381;3116
1969-05-25;81601;304115;63454;2692
1969-05-26;88406;332517;62165;2350
1969-05-27;94276;348577;60445;2061
1969-05-28;99349;348426;57669;1857
1969-05-29;95943;350295;55544;2831
1969-05-30;100214;344547;54462;2616
1969-05-31;102439;334558;48914;2706
1969-06-01;105623;306764;46098;2137
1969-06-02;102709;271090;45966;1984
1969-06-03;95340;235608;41710;3045
1969-06-04;86972;202931;35766;2155
1969-06-05;82671;180495;31485;1858
1969-06-06;85385;165927;28529;1625
1969-06-07;97214;160888;26120;1434
1969-06-08;113518;163176;24053;1253
1969-06-09;133880;169791;22722;1107
1969-06-10;153040;169960;21997;1035
1969-06-11;162083;170599;19629;898
1969-06-12;165309;163184;18325;814
1969-06-13;168581;161715;17055;749
1969-06-14;169282;152324;15974;703
1969-06-15;171643;143473;14674;719
1969-06-16;166921;134631;14310;606
1969-06-17;161495;129792;12784;561
1969-06-18;172466;128180;11979;539
1969-06-19;195944;126148;10940;497
1969-06-20;217954;122829;10776;853
1969-06-21;235137;115748;9575;504
1969-06-22;243066;108416;10166;820
1969-06-23;243494;101266;9102;509
1969-06-24;240108;90824;7795;350
1969-06-25;232917;81522;7170;292
1969-06-26;222922;73689;6713;258
1969-06-27;209752;67147;6692;266
1969-06-28;196708;61882;6350;260
1969-06-29;182232;63912;5561;179
1969-06-30;158326;78240;6301;158
1969-07-01;130693;87698;12605;291
1969-07-02;114428;80983;8240;406
1969-07-03;107660;72422;7682;170
1969-07-04;97211;66876;6504;175
1969-07-05;119428;68956;7020;132
1969-07-06;107952;64482;6301;141
1969-07-07;101106;78912;17641;1203
1969-07-08;137001;81641;8500;285
1969-07-09;129771;82361;10226;99
1969-07-10;182460;92696;14329;62
1969-07-11;163550;88175;13011;46
1969-07-12;139679;92804;12954;28
1969-07-13;113553;85267;11618;10
1969-07-14;88775;81811;10965;-7
1969-07-15;73710;70631;10364;-25
1969-07-16;61901;63173;9639;2
1969-07-17;54989;118777;12912;22
1969-07-18;87870;124409;10335;-72
1969-07-19;82734;106331;12643;113
1969-07-20;74961;88530;9201;-93
1969-07-21;58263;77691;9047;-101
1969-07-22;52211;78776;8250;-120
1969-07-23;44976;79284;7847;-134
1969-07-24;42457;81018;19308;326
1969-07-25;37200;67380;9223;-149
1969-07-26;33012;59169;8107;-167
1969-07-27;34312;54438;11499;-179
1969-07-28;37051;53074;9825;-193
1969-07-29;36772;46497;7256;-207
1969-07-30;35476;45464;6404;-221
1969-07-31;31586;38581;6087;-234
1969-08-01;29059;36259;5604;-176
1969-08-02;26851;33251;5240;-186
1969-08-03;25592;30614;4831;-194
1969-08-04;25114;28404;4468;-202
1969-08-05;24900;26468;4016;-209
1969-08-06;30497;27325;3771;-216
1969-08-07;27095;26484;3500;-225
1969-08-08;27050;23216;3138;-81
1969-08-09;24959;21743;2912;-236
1969-08-10;23510;21098;2636;-239
1969-08-11;25608;19659;2389;-243
1969-08-12;24245;18219;2168;-238
1969-08-13;21928;17711;2416;344
1969-08-14;20662;16646;2983;508
1969-08-15;18548;15657;1732;132
1969-08-16;17266;16345;1466;238
1969-08-17;17853;14279;1306;-221
1969-08-18;22198;15638;1219;-236
1969-08-19;32108;19050;1187;489
1969-08-20;53675;24816;1628;1859
1969-08-21;43624;36152;23777;622
1969-08-22;45204;57447;10484;412
1969-08-23;33783;50922;9616;329
1969-08-24;29930;43764;6446;36
1969-08-25;25479;41778;6552;130
1969-08-26;22292;34126;6844;993
1969-08-27;24510;53801;19922;1879
1969-08-28;71990;56562;12277;443
1969-08-29;70322;43552;9086;284
1969-08-30;59867;36636;8310;148
1969-08-31;47486;36469;7667;39
1969-09-01;43675;41347;7399;28
1969-09-02;44949;40184;6893;-15
1969-09-03;38626;39638;6657;647
1969-09-04;37040;33280;5822;89
1969-09-05;35935;34669;5429;212
1969-09-06;38666;35835;5144;-2
1969-09-07;41350;48519;4443;-12
1969-09-08;39258;52204;4101;-22
1969-09-09;35344;49269;3690;-30
1969-09-10;40287;50719;3433;-38
1969-09-11;35509;57730;4772;-47
1969-09-12;35859;97908;8884;-56
1969-09-13;28326;82314;13510;-65
1969-09-14;24125;74458;14197;-74
1969-09-15;20871;62128;14278;-81
1969-09-16;20027;52586;11864;-89
1969-09-17;17473;45644;10375;-94
1969-09-18;16583;40523;9527;-97
1969-09-19;15009;36670;8794;-101
1969-09-20;20846;36004;10193;845
1969-09-21;41817;48120;19069;683
1969-09-22;26535;52566;15633;241
1969-09-23;23390;45140;12454;94
1969-09-24;27299;46024;11102;21
1969-09-25;23024;55018;12319;-6
1969-09-26;26543;55425;21606;1679
1969-09-27;25896;59057;13672;1001
1969-09-28;28290;73445;21749;1106
1969-09-29;57382;88001;17424;715
1969-09-30;26347;83116;22353;1906
1969-10-01;24574;101539;25957;1399
1969-10-02;22138;83892;21179;918
1969-10-03;19688;80182;19601;795
1969-10-04;18005;76812;17989;689
1969-10-05;16289;72085;16385;566
1969-10-06;16801;66584;15128;454
1969-10-07;21479;69605;14459;373
1969-10-08;26760;75649;13594;335
1969-10-09;45107;81833;12608;287
1969-10-10;46981;80456;12699;774
1969-10-11;49460;81615;11665;292
1969-10-12;54680;80244;11106;295
1969-10-13;64328;72992;10522;298
1969-10-14;59051;65157;9909;288
1969-10-15;51327;58815;9307;285
1969-10-16;49878;62536;8704;266
1969-10-17;50073;61160;8231;253
1969-10-18;58258;56090;7659;249
1969-10-19;55608;52133;7287;227
1969-10-20;55953;51370;7176;214
1969-10-21;47973;47583;7357;203
1969-10-22;44012;43979;6735;220
1969-10-23;34936;41906;7080;197
1969-10-24;31816;43623;14924;914
1969-10-25;35672;87568;7960;383
1969-10-26;32213;109510;9030;246
1969-10-27;29999;109680;9301;370
1969-10-28;29878;100204;9828;498
1969-10-29;30659;87274;8096;427
1969-10-30;20628;69387;7812;292
1969-10-31;18945;67460;7766;492
1969-11-01;18374;66940;12679;1037
1969-11-02;16766;52684;11557;3195
1969-11-03;15453;53173;10804;1925
1969-11-04;15388;45353;7657;2818
1969-11-05;14164;42241;7238;2167
1969-11-06;15056;43282;7484;2202
1969-11-07;13917;39254;7919;2122
1969-11-08;19681;44768;14601;2899
1969-11-09;25806;38057;15660;2882
1969-11-10;12560;49336;16538;2902
1969-11-11;13265;43032;18949;3821
1969-11-12;31510;60891;16285;3991
1969-11-13;14449;36153;19763;4166
1969-11-14;11126;34496;16203;3908
1969-11-15;11996;33508;16277;3481
1969-11-16;15939;39012;17478;3257
1969-11-17;14515;34472;23059;3414
1969-11-18;13767;34874;19889;4015
1969-11-19;12846;32026;16097;4585
1969-11-20;11164;37090;15444;4408
1969-11-21;9466;29175;13949;3968
1969-11-22;9021;28702;15968;3606
1969-11-23;8914;30471;17869;3375
1969-11-24;8470;25982;11429;2907
1969-11-25;7818;25793;10817;2561
1969-11-26;9254;25366;10257;2299
1969-11-27;10683;26756;11678;2740
1969-11-28;8924;24133;9515;2415
1969-11-29;7539;22714;9095;2259
1969-11-30;9015;26532;9703;1710
1969-12-01;9147;26420;11203;2002
1969-12-02;27206;29728;9371;1726
1969-12-03;15611;22251;8208;1471
1969-12-04;8543;21732;8041;1389
1969-12-05;7038;20296;7736;1341
1969-12-06;6851;19788;7433;1309
1969-12-07;8882;23411;10332;1293
1969-12-08;10782;25644;8923;1352
1969-12-09;13422;23496;7119;1243
1969-12-10;7367;18527;7075;1210
1969-12-11;7677;19465;7037;1175
1969-12-12;6963;18135;6844;1143
1969-12-13;7642;17879;7043;1103
1969-12-14;8071;18656;7584;1109
1969-12-15;8378;18824;6975;1102
1969-12-16;8006;17515;6584;1040
1969-12-17;5994;16635;6531;1094
1969-12-18;6473;16132;6189;948
1969-12-19;5653;15485;5872;936
1969-12-20;6121;15173;5768;854
1969-12-21;5651;15261;5787;819
1969-12-22;7887;18433;5569;788
1969-12-23;10722;15798;6054;759
1969-12-24;5972;14403;5309;746
1969-12-25;5997;14519;5234;712
1969-12-26;6377;17840;5075;681
1969-12-27;7291;23578;5006;657
1969-12-28;6308;17102;5059;630
1969-12-29;7181;15636;5036;634
1969-12-30;8077;17477;4824;607
1969-12-31;7271;19858;6368;571
1970-01-01;11847;20439;8233;1051
1970-01-02;14656;22817;5183;579
1970-01-03;12247;18015;6215;566
1970-01-04;8026;15558;4797;556
1970-01-05;6074;15362;4631;486
1970-01-06;5424;14246;4642;458
1970-01-07;5247;13589;4488;440
1970-01-08;10262;15223;4442;425
1970-01-09;5042;12574;4216;411
1970-01-10;6456;12225;4375;394
1970-01-11;5710;12758;4248;404
1970-01-12;6789;18939;4363;377
1970-01-13;4282;19991;8236;420
1970-01-14;4262;12314;5590;381
1970-01-15;4081;11652;4120;335
1970-01-16;4380;11242;4037;340
1970-01-17;3897;11216;4423;324
1970-01-18;3836;12066;4047;302
1970-01-19;4701;14178;3902;296
1970-01-20;9224;11144;3811;281
1970-01-21;5340;10749;3732;271
1970-01-22;4473;10568;3679;260
1970-01-23;4230;10612;3867;264
1970-01-24;3931;10395;4013;241
1970-01-25;4049;9968;3680;233
1970-01-26;3438;11242;8701;793
1970-01-27;3352;10322;4544;242
1970-01-28;3618;9774;3576;234
1970-01-29;4127;13956;3454;217
1970-01-30;5091;9911;3510;274
1970-01-31;7202;14335;3404;201
1970-02-01;13590;13003;3429;208
1970-02-02;15798;11917;5608;516
1970-02-03;12358;12981;4214;435
1970-02-04;4646;9932;3193;217
1970-02-05;5155;17676;3070;182
1970-02-06;4857;10451;3174;222
1970-02-07;3611;10565;5542;421
1970-02-08;3502;13373;5170;394
1970-02-09;3841;9163;3217;286
1970-02-10;6085;9597;3055;214
1970-02-11;4368;9278;2995;156
1970-02-12;4804;9194;2939;157
1970-02-13;7215;11450;2966;146
1970-02-14;6094;10983;3045;141
1970-02-15;6650;13161;3575;243
1970-02-16;8144;9550;2996;440
1970-02-17;4978;8217;2848;130
1970-02-18;3706;8284;2833;125
1970-02-19;4097;7886;2694;121
1970-02-20;3382;8198;3186;216
1970-02-21;3270;9221;3232;153
1970-02-22;4141;9652;3044;128
1970-02-23;3333;8425;3007;146
1970-02-24;3551;9066;2965;116
1970-02-25;8742;8777;2614;125
1970-02-26;4114;8270;2616;96
1970-02-27;4347;10589;2608;92
1970-02-28;6911;19408;2975;156
1970-03-01;3705;10168;2673;181
1970-03-02;10765;9176;2509;116
1970-03-03;11506;11703;2594;210
1970-03-04;6996;9094;2840;293
1970-03-05;5659;15430;9068;838
1970-03-06;12753;25192;6117;400
1970-03-07;7955;14129;3715;317
1970-03-08;11229;17615;7389;674
1970-03-09;6825;10376;4382;222
1970-03-10;5874;11500;3200;201
1970-03-11;4806;10351;4214;207
1970-03-12;3769;8050;2762;201
1970-03-13;5202;11790;2691;229
1970-03-14;8718;12150;2688;227
1970-03-15;4977;12519;2687;228
1970-03-16;5720;11199;3210;445
1970-03-17;17339;18270;7175;947
1970-03-18;8248;9933;4622;1258
1970-03-19;4785;14260;4610;1314
1970-03-20;4131;10274;4577;1230
1970-03-21;4418;8726;4341;1180
1970-03-22;5112;8614;4521;1932
1970-03-23;3319;8896;3842;1361
1970-03-24;3100;9110;3681;1509
1970-03-25;2830;8039;3533;1163
1970-03-26;5615;20965;5748;1456
1970-03-27;14307;20028;4087;1367
1970-03-28;9429;12104;4520;1342
1970-03-29;4031;9525;3813;967
1970-03-30;2969;7924;3370;886
1970-03-31;3085;7546;3732;2183
1970-04-01;2772;7631;4936;1811
1970-04-02;2674;7359;4100;1447
1970-04-03;2588;7065;3390;1346
1970-04-04;2510;7091;5424;1851
1970-04-05;9600;19166;4823;1634
1970-04-06;7955;13361;4535;1934
1970-04-07;6348;18080;5966;1937
1970-04-08;4991;9207;7745;1834
1970-04-09;6208;12796;4468;2024
1970-04-10;4366;8518;4589;2570
1970-04-11;2646;7781;4156;2499
1970-04-12;3892;8263;4457;2438
1970-04-13;3064;7892;4742;2448
1970-04-14;2763;7955;5095;2498
1970-04-15;2989;8812;5488;2494
1970-04-16;3147;13329;9085;2975
1970-04-17;9207;15401;8463;3767
1970-04-18;15716;28490;14961;5000
1970-04-19;13176;53685;18413;5543
1970-04-20;7407;47201;20861;6265
1970-04-21;5747;39059;24968;8484
1970-04-22;5278;35264;26654;9639
1970-04-23;12006;43750;36002;11235
1970-04-24;16093;44590;34797;11510
1970-04-25;8696;35562;41537;12107
1970-04-26;5806;34196;44445;12330
1970-04-27;5588;31856;42335;11577
1970-04-28;7152;32775;40589;11771
1970-04-29;5550;34898;41335;10724
1970-04-30;3476;34792;40307;9793
1970-05-01;3237;36630;40712;8455
1970-05-02;2826;42370;41282;7352
1970-05-03;2771;57774;44324;6509
1970-05-04;2973;82058;48081;5699
1970-05-05;8997;108084;50761;5027
1970-05-06;8828;152856;59576;4474
1970-05-07;18122;221092;67083;4006
1970-05-08;32017;291703;73169;3611
1970-05-09;51231;362075;79744;3260
1970-05-10;71905;440233;87044;2949
1970-05-11;90113;514839;93396;2690
1970-05-12;109537;580790;97947;2614
1970-05-13;121823;624769;101334;3276
1970-05-14;113426;600705;100484;2532
1970-05-15;89448;515583;92369;2366
1970-05-16;74353;443371;87244;2250
1970-05-17;66952;404452;81854;2043
1970-05-18;74693;401064;76946;1827
1970-05-19;80251;393915;72983;1954
1970-05-20;79790;374318;66933;2039
1970-05-21;76922;352069;67544;2276
1970-05-22;64972;322293;66498;2255
1970-05-23;58197;288584;58372;1850
1970-05-24;56522;263065;52580;1745
1970-05-25;64270;267816;49291;1610
1970-05-26;85768;280401;45706;1709
1970-05-27;112053;292235;42694;1513
1970-05-28;137614;298687;40166;1343
1970-05-29;183289;323725;41430;1539
1970-05-30;216052;335954;49032;2959
1970-05-31;232207;356058;47197;1873
1970-06-01;241073;342741;48974;1731
1970-06-02;223008;301001;44572;1533
1970-06-03;200595;262329;40474;1402
1970-06-04;191707;238805;36046;1246
1970-06-05;207350;228826;32051;1100
1970-06-06;223008;219761;27922;980
1970-06-07;233948;209565;25240;931
1970-06-08;246747;194046;23229;835
1970-06-09;245869;174441;21860;791
1970-06-10;256676;168812;19816;1300
1970-06-11;240503;149626;24275;841
1970-06-12;191696;128611;17749;769
1970-06-13;149736;110956;15974;646
1970-06-14;119127;97024;14617;588
1970-06-15;100234;86224;13780;545
1970-06-16;97749;77900;12532;552
1970-06-17;95175;70567;11620;464
1970-06-18;88619;63988;10736;422
1970-06-19;86194;58043;9951;382
1970-06-20;80925;52780;9227;341
1970-06-21;74561;49336;11305;303
1970-06-22;70093;44258;8336;296
1970-06-23;69732;40724;7387;234
1970-06-24;72477;37782;6840;351
1970-06-25;73572;46283;15509;1191
1970-06-26;81379;45692;7976;269
1970-06-27;70065;36802;6926;170
1970-06-28;60579;35572;6442;197
1970-06-29;54381;33171;9745;565
1970-06-30;50258;31563;9035;217
1970-07-01;52059;42805;8054;798
1970-07-02;97447;45620;10791;729
1970-07-03;102565;62278;8960;898
1970-07-04;101181;58806;11056;1273
1970-07-05;89524;57275;9756;565
1970-07-06;74242;51154;8573;308
1970-07-07;59672;47539;7962;545
1970-07-08;48193;41953;7173;187
1970-07-09;40165;39304;18175;1339
1970-07-10;42885;104681;11436;846
1970-07-11;94853;86761;9370;912
1970-07-12;90883;75345;10267;1000
1970-07-13;82457;81997;10650;880
1970-07-14;79835;85986;9428;1118
1970-07-15;92169;78110;10250;1337
1970-07-16;72838;65867;9816;640
1970-07-17;58134;56770;7897;598
1970-07-18;47394;54001;8201;401
1970-07-19;46756;55166;9492;505
1970-07-20;71832;119607;17858;1221
1970-07-21;67581;124013;23797;871
1970-07-22;114011;146543;35466;946
1970-07-23;104217;125507;29977;581
1970-07-24;85369;128181;34485;460
1970-07-25;66187;114037;42024;778
1970-07-26;66900;157688;48420;1055
1970-07-27;65776;176489;47199;725
1970-07-28;62524;193450;52281;1571
1970-07-29;80024;186127;41414;740
1970-07-30;65294;158673;36364;531
1970-07-31;54909;134281;31982;390
1970-08-01;46223;111203;27675;336
1970-08-02;38975;93243;24443;302
1970-08-03;34430;79741;22003;371
1970-08-04;31558;69438;21803;1765
1970-08-05;29877;62242;19838;669
1970-08-06;35250;66347;18268;487
1970-08-07;30338;57025;15310;404
1970-08-08;26224;51300;14087;317
1970-08-09;25511;60299;14344;385
1970-08-10;47928;63705;14094;1216
1970-08-11;52965;55115;15401;552
1970-08-12;43892;49909;11608;369
1970-08-13;36969;44698;10949;285
1970-08-14;35865;40936;11220;312
1970-08-15;33677;43930;12987;192
1970-08-16;90748;44627;9956;155
1970-08-17;78479;43727;15100;1063
1970-08-18;65925;39449;27037;737
1970-08-19;50086;37930;12811;346
1970-08-20;39251;34808;12228;301
1970-08-21;46196;35620;11015;260
1970-08-22;39541;31522;10545;211
1970-08-23;36081;29589;10103;162
1970-08-24;30668;27798;9652;448
1970-08-25;26825;26178;8582;120
1970-08-26;23066;24727;8018;105
1970-08-27;25905;28371;7591;90
1970-08-28;22851;29575;7174;73
1970-08-29;25467;32813;6717;58
1970-08-30;24985;33160;7143;44
1970-08-31;51200;49457;7530;58
1970-09-01;53239;54328;7829;416
1970-09-02;58103;49122;6645;139
1970-09-03;61603;88107;11987;660
1970-09-04;74897;132204;8372;439
1970-09-05;65192;128382;7884;230
1970-09-06;56845;109010;7435;139
1970-09-07;44781;88085;7172;134
1970-09-08;36786;71707;10576;391
1970-09-09;33065;74791;11926;214
1970-09-10;67848;80544;14177;467
1970-09-11;59431;75720;11631;576
1970-09-12;57421;70054;9234;455
1970-09-13;47445;65302;13563;1293
1970-09-14;47484;81899;11733;1083
1970-09-15;61699;72842;10799;1798
1970-09-16;53368;105198;26120;912
1970-09-17;50502;96694;19341;758
1970-09-18;43487;100839;20884;602
1970-09-19;37023;108471;21381;482
1970-09-20;35715;104514;20844;1148
1970-09-21;32735;100454;18527;474
1970-09-22;28670;94219;16821;386
1970-09-23;27902;83920;15385;329
1970-09-24;25521;75374;14290;286
1970-09-25;22756;66221;13023;254
1970-09-26;20971;59447;12136;236
1970-09-27;19054;54161;11615;225
1970-09-28;18799;50792;11001;245
1970-09-29;18020;50646;10213;200
1970-09-30;25888;54436;16652;1212
1970-10-01;29582;91343;18563;780
1970-10-02;30325;100283;26048;2423
1970-10-03;29748;106182;22909;1874
1970-10-04;27519;104973;23850;1489
1970-10-05;33660;123731;29802;2213
1970-10-06;52965;147931;36570;2158
1970-10-07;76837;179260;49433;2834
1970-10-08;66591;172539;41972;2152
1970-10-09;59409;155005;37521;1909
1970-10-10;52486;148891;33380;1708
1970-10-11;52114;136024;29732;1474
1970-10-12;70818;133304;26703;1246
1970-10-13;54079;122340;25164;1052
1970-10-14;47741;109796;25259;1008
1970-10-15;44716;98362;21749;842
1970-10-16;44042;92323;20424;758
1970-10-17;57347;97516;20386;739
1970-10-18;59873;103652;29882;3848
1970-10-19;80725;157761;32720;3223
1970-10-20;69904;154140;31906;3537
1970-10-21;59646;156078;31089;3023
1970-10-22;48630;137733;28277;2773
1970-10-23;43846;127537;26249;2450
1970-10-24;38675;120005;23862;2312
1970-10-25;34634;113332;21968;2144
1970-10-26;33624;102303;20779;2096
1970-10-27;30067;91727;18919;1825
1970-10-28;26806;81184;25252;3696
1970-10-29;24643;78266;22021;3151
1970-10-30;24689;83415;22224;4749
1970-10-31;24352;66567;18364;5246
1970-11-01;21304;66700;24693;6153
1970-11-02;20439;59174;16644;5769
1970-11-03;19438;57672;18051;7169
1970-11-04;18240;62677;16046;6087
1970-11-05;17871;51974;14058;6601
1970-11-06;20044;58155;13468;5337
1970-11-07;23083;49629;12648;4576
1970-11-08;18155;57511;16377;4510
1970-11-09;15376;49719;14492;4648
1970-11-10;16233;43909;11498;4097
1970-11-11;18747;49605;17579;4527
1970-11-12;21325;47770;12998;4256
1970-11-13;18653;43903;12020;4615
1970-11-14;22453;50247;11005;4362
1970-11-15;32525;44024;11055;4132
1970-11-16;17077;39056;11009;3932
1970-11-17;17718;37465;10268;3513
1970-11-18;13777;36421;12487;3357
1970-11-19;23508;46046;20333;3498
1970-11-20;25194;50037;15846;3034
1970-11-21;18091;46310;21045;3523
1970-11-22;18114;53464;28146;4692
1970-11-23;24284;71368;28839;4081
1970-11-24;17940;61288;30837;3963
1970-11-25;15574;57752;32918;3819
1970-11-26;16269;55441;33187;3659
1970-11-27;21249;62290;29071;3292
1970-11-28;19852;60205;35472;3172
1970-11-29;15981;54731;27123;3099
1970-11-30;14781;51470;25476;3368
1970-12-01;15956;51842;24646;2835
1970-12-02;23796;50027;22105;3029
1970-12-03;14476;45348;20240;2786
1970-12-04;16259;44297;20979;2967
1970-12-05;18773;47451;18529;2716
1970-12-06;16873;41007;22005;3974
1970-12-07;13985;47007;18562;3498
1970-12-08;23662;51869;17368;3240
1970-12-09;22736;50011;16949;3145
1970-12-10;28676;73451;17720;2963
1970-12-11;21760;104341;17956;2771
1970-12-12;22057;119966;17730;2639
1970-12-13;21961;119296;19007;3072
1970-12-14;22484;96986;16400;2577
1970-12-15;16720;84661;15413;2497
1970-12-16;16659;77409;14830;2450
1970-12-17;17182;73399;14680;2381
1970-12-18;16450;71091;13759;2207
1970-12-19;18342;78661;13426;2284
1970-12-20;16707;74418;13200;2667
1970-12-21;15422;67224;12643;2221
1970-12-22;14021;63330;12466;2149
1970-12-23;13083;57742;12124;2075
1970-12-24;12416;56634;11780;1989
1970-12-25;11800;52123;11466;1918
1970-12-26;11420;49647;11094;1853
1970-12-27;10986;47295;10779;1783
1970-12-28;10714;45763;10674;1745
1970-12-29;15487;49314;10640;1739
1970-12-30;9697;42373;10509;1673
1970-12-31;9870;40199;9673;1626
1971-01-01;11595;40098;9600;1576
