Date;SE1 [MWh];SE2 [MWh];SE3 [MWh];SE4 [MWh]
1963-06-23;58765;68881;12746;778
1963-06-24;65958;64610;12882;180
1963-06-25;61831;61341;13208;356
1963-06-26;66439;61696;27139;2146
1963-06-27;65922;80411;24207;621
1963-06-28;65538;75505;21594;304
1963-06-29;63546;68566;20243;297
1963-06-30;56963;58406;20893;73
1963-07-01;50483;51574;18122;183
1963-07-02;45090;45152;16559;41
1963-07-03;40659;40153;15027;19
1963-07-04;37109;36127;13822;-36
1963-07-05;37890;33933;14758;-21
1963-07-06;33908;34705;17918;283
1963-07-07;33508;39662;27914;1559
1963-07-08;30743;34515;18204;537
1963-07-09;51863;45469;18785;900
1963-07-10;64593;43454;19580;801
1963-07-11;64403;55925;26408;888
1963-07-12;105177;75211;24193;404
1963-07-13;109404;64166;24163;1015
1963-07-14;95224;55279;22530;435
1963-07-15;82831;58512;21010;554
1963-07-16;108305;94172;24355;917
1963-07-17;107925;89228;19224;335
1963-07-18;102054;84969;18102;179
1963-07-19;86519;80871;20403;108
1963-07-20;153125;154627;20381;87
1963-07-21;166206;136556;16902;2
1963-07-22;142074;122514;15674;-32
1963-07-23;107491;101561;14590;-53
1963-07-24;91102;97720;17949;489
1963-07-25;101673;100292;13728;-2
1963-07-26;89362;87985;12911;-68
1963-07-27;72786;74526;11710;-81
1963-07-28;57200;62747;10980;-52
1963-07-29;47164;54088;10713;28
1963-07-30;40912;47638;10025;33
1963-07-31;36950;42631;13010;770
1963-08-01;35122;43478;10742;228
1963-08-02;34170;53351;10341;144
1963-08-03;35144;41996;13539;233
1963-08-04;31159;38053;8376;259
1963-08-05;28287;34538;11004;406
1963-08-06;25946;34750;10972;140
1963-08-07;25638;36331;10558;311
1963-08-08;23962;32322;17742;2865
1963-08-09;24424;44781;11935;1047
1963-08-10;23904;72450;11433;1578
1963-08-11;24259;70133;14311;2232
1963-08-12;26396;64420;18030;1921
1963-08-13;25721;67527;20867;2209
1963-08-14;42959;75377;17224;1476
1963-08-15;39567;76129;22310;2787
1963-08-16;40796;66226;27836;1633
1963-08-17;39404;59195;20382;1258
1963-08-18;33150;52434;19205;2125
1963-08-19;28598;51864;30187;1859
1963-08-20;34854;67598;23670;1592
1963-08-21;41220;57929;21600;1629
1963-08-22;38887;57462;19546;1297
1963-08-23;38641;50606;18853;956
1963-08-24;77319;44773;21239;1878
1963-08-25;68028;53194;18545;1192
1963-08-26;81275;73322;23072;1191
1963-08-27;95642;76354;23144;1003
1963-08-28;81657;74766;19358;914
1963-08-29;65801;68476;19143;1091
1963-08-30;50979;59929;18272;756
1963-08-31;40929;55044;16764;705
1963-09-01;35902;69565;34858;1861
1963-09-02;48892;72209;28301;1735
1963-09-03;53915;79895;26544;1196
1963-09-04;79384;82493;31155;1428
1963-09-05;70295;81477;28785;1211
1963-09-06;61051;75665;26172;946
1963-09-07;48394;67620;23614;933
1963-09-08;40259;60565;21818;739
1963-09-09;34894;62706;26440;1003
1963-09-10;35043;57536;22115;646
1963-09-11;31760;53959;20494;567
1963-09-12;30582;51683;19680;519
1963-09-13;33061;60920;17941;458
1963-09-14;52617;97560;16313;422
1963-09-15;45155;111118;15190;394
1963-09-16;53935;111943;13975;379
1963-09-17;56581;118580;12984;355
1963-09-18;53884;112581;12142;336
1963-09-19;46326;95407;11355;315
1963-09-20;38858;78931;10904;297
1963-09-21;36425;67634;10361;697
1963-09-22;39864;59863;9914;373
1963-09-23;42064;57388;9295;291
1963-09-24;39137;54454;11699;750
1963-09-25;45342;81251;11645;1013
1963-09-26;81879;104685;15880;966
1963-09-27;106963;116335;13011;909
1963-09-28;109730;109965;12465;683
1963-09-29;107670;105138;12314;1674
1963-09-30;99529;107439;12076;859
1963-10-01;82543;102161;12724;1214
1963-10-02;66144;89494;27393;2758
1963-10-03;52960;82760;23910;2647
1963-10-04;43996;80030;30824;3292
1963-10-05;49740;96349;25513;3106
1963-10-06;57294;88524;24228;2850
1963-10-07;46613;83843;21968;2468
1963-10-08;45857;87422;24635;2556
1963-10-09;40450;85338;21816;2219
1963-10-10;37960;85542;22017;2312
1963-10-11;33268;92087;23239;3018
1963-10-12;29967;84050;22023;2313
1963-10-13;28092;78594;35947;3794
1963-10-14;26120;69850;25150;2660
1963-10-15;23895;64313;24191;2433
1963-10-16;30011;66387;25656;2667
1963-10-17;21729;60132;24150;2428
1963-10-18;20944;61825;22824;2047
1963-10-19;19410;56421;20886;1834
1963-10-20;21522;58649;24543;1893
1963-10-21;26340;64766;20428;1571
1963-10-22;22349;63323;21894;3003
1963-10-23;32662;64161;18413;2065
1963-10-24;44208;69120;17358;1994
1963-10-25;54281;78986;16239;1905
1963-10-26;57884;85517;15561;1821
1963-10-27;54543;86540;14678;1686
1963-10-28;49386;82149;13674;1501
1963-10-29;37268;75456;13004;1357
1963-10-30;32584;67641;12336;1253
1963-10-31;30878;61472;11823;1172
1963-11-01;31655;57547;11243;1429
1963-11-02;32199;56534;18254;1195
1963-11-03;27757;51273;13960;1134
1963-11-04;28868;47678;12981;1110
1963-11-05;32822;46819;12550;1075
1963-11-06;26395;55108;12256;1052
1963-11-07;23856;60695;18323;1201
1963-11-08;36799;66060;17991;2027
1963-11-09;27743;61866;18298;1353
1963-11-10;21367;49766;16718;1261
1963-11-11;19955;48014;19829;2038
1963-11-12;22299;53351;21217;1769
1963-11-13;28835;56434;28175;2237
1963-11-14;19916;47823;24528;3388
1963-11-15;19866;47130;25640;4035
1963-11-16;20334;44547;26318;3984
1963-11-17;15029;37809;23145;4557
1963-11-18;17982;46261;32275;6685
1963-11-19;27425;51223;20997;6106
1963-11-20;21519;41554;19955;5828
1963-11-21;14144;33908;22676;8037
1963-11-22;12883;32572;19822;7840
1963-11-23;12632;30583;17256;6867
1963-11-24;12162;29669;21997;7201
1963-11-25;11773;29328;22365;7392
1963-11-26;11255;29600;18928;6544
1963-11-27;10797;27378;16025;5959
1963-11-28;10917;26494;16605;5673
1963-11-29;11188;26003;15907;5062
1963-11-30;9932;25427;15214;4530
1963-12-01;10004;24591;14583;4008
1963-12-02;11256;26292;13829;3544
1963-12-03;10934;25588;13225;3143
1963-12-04;10199;25050;12484;2821
1963-12-05;9719;26079;11945;2572
1963-12-06;17297;33634;11466;2371
1963-12-07;14089;27723;11035;2202
1963-12-08;10166;29518;10716;2064
1963-12-09;13721;33655;10432;1952
1963-12-10;11906;30898;10133;1859
1963-12-11;9733;23954;9798;1785
1963-12-12;11233;23799;9641;1743
1963-12-13;13800;25538;9258;1677
1963-12-14;9469;22481;9104;1625
1963-12-15;13021;23656;8888;1573
1963-12-16;9266;21833;8647;1527
1963-12-17;14503;28902;9082;1488
1963-12-18;14048;31602;13752;2229
1963-12-19;11833;27873;9969;1523
1963-12-20;8087;21494;8483;1399
1963-12-21;10744;23862;7830;1339
1963-12-22;10340;24035;7629;1291
1963-12-23;18559;31224;7469;1245
1963-12-24;11679;25536;7473;1199
1963-12-25;8039;19444;7281;1207
1963-12-26;11155;23341;7258;1227
1963-12-27;7663;27433;7388;1223
1963-12-28;9379;26561;7407;1390
1963-12-29;10146;22730;7835;1393
1963-12-30;18576;31205;9504;2440
1963-12-31;16027;21751;8942;2495
1964-01-01;12336;20299;8892;2254
1964-01-02;8828;22052;8815;1996
1964-01-03;16989;35382;9094;1879
1964-01-04;11403;24595;9662;1819
1964-01-05;9360;21415;9319;1775
1964-01-06;9195;21551;8971;1626
1964-01-07;11986;21940;8692;1572
1964-01-08;54481;25324;8367;1508
1964-01-09;67718;37319;8025;1462
1964-01-10;84850;50800;7920;1425
1964-01-11;91981;69801;7586;1391
1964-01-12;96104;82870;7543;1360
1964-01-13;69048;63697;7319;1331
1964-01-14;50527;52778;7207;1297
1964-01-15;40725;45915;6989;1257
1964-01-16;34730;41193;6607;1215
1964-01-17;31430;38283;6609;1171
1964-01-18;35015;37020;6432;1135
1964-01-19;45851;39599;6297;1087
1964-01-20;48558;53538;6252;1095
1964-01-21;51560;59673;6044;1033
1964-01-22;47386;54771;5994;989
1964-01-23;51565;64982;5880;1107
1964-01-24;37401;64469;5748;948
1964-01-25;31244;57726;5620;941
1964-01-26;32447;50844;6909;1329
1964-01-27;26574;43795;5573;935
1964-01-28;28537;45026;5689;949
1964-01-29;22993;46216;5949;1221
1964-01-30;19278;38384;9102;1938
1964-01-31;18562;34495;7376;1932
1964-02-01;16155;33238;8601;2379
1964-02-02;15588;31959;6606;1959
1964-02-03;35500;41621;7337;2167
1964-02-04;15198;31504;6526;2008
1964-02-05;15590;29724;6292;1833
1964-02-06;16064;28623;6208;1714
1964-02-07;20543;36829;6154;1599
1964-02-08;14559;29289;6650;1497
1964-02-09;23241;35800;6726;1416
1964-02-10;17635;36691;6649;1371
1964-02-11;10964;27128;7280;1436
1964-02-12;17317;38322;6282;1349
1964-02-13;12997;29250;7522;1540
1964-02-14;13148;28801;6725;1237
1964-02-15;10431;24245;9088;1311
1964-02-16;10248;23449;6909;1365
1964-02-17;10057;21603;5593;1155
1964-02-18;11236;23594;5501;1099
1964-02-19;9864;21891;5340;1058
1964-02-20;12045;21701;5153;1021
1964-02-21;9166;19018;5194;985
1964-02-22;8159;21801;5112;950
1964-02-23;9402;18202;5072;914
1964-02-24;8014;17382;5141;880
1964-02-25;7103;16855;4667;848
1964-02-26;11181;20017;4808;816
1964-02-27;8241;17833;5592;789
1964-02-28;7439;17388;8400;794
1964-02-29;6561;16445;6713;750
1964-03-01;7581;15764;5050;732
1964-03-02;11941;15809;4962;710
1964-03-03;7193;15121;4941;687
1964-03-04;7450;15500;5039;668
1964-03-05;6107;14960;4669;646
1964-03-06;7626;15015;4481;623
1964-03-07;9656;21669;4450;600
1964-03-08;12650;24135;4520;593
1964-03-09;13939;20824;5097;575
1964-03-10;8523;26066;5678;605
1964-03-11;7390;22551;5901;650
